,location,date,vaccine,total_vaccinations
3183,Czechia,2021-08-04,Moderna,871260
3184,Czechia,2021-08-04,Oxford/AstraZeneca,867441
3185,Czechia,2021-08-04,Pfizer/BioNTech,8698822
3186,Czechia,2021-08-05,Johnson&Johnson,156382
3187,Czechia,2021-08-05,Moderna,873339
3188,Czechia,2021-08-05,Oxford/AstraZeneca,869706
3189,Czechia,2021-08-05,Pfizer/BioNTech,8744928
3190,Czechia,2021-08-06,Johnson&Johnson,159476
3191,Czechia,2021-08-06,Moderna,875082
3192,Czechia,2021-08-06,Oxford/AstraZeneca,871324
3193,Czechia,2021-08-06,Pfizer/BioNTech,8795467
3194,Czechia,2021-08-07,Johnson&Johnson,160893
3195,Czechia,2021-08-07,Moderna,875217
3196,Czechia,2021-08-07,Oxford/AstraZeneca,871462
3197,Czechia,2021-08-07,Pfizer/BioNTech,8816152
3198,Czechia,2021-08-08,Johnson&Johnson,161980
3199,Czechia,2021-08-08,Moderna,875310
3200,Czechia,2021-08-08,Oxford/AstraZeneca,871475
3201,Czechia,2021-08-08,Pfizer/BioNTech,8833996
3202,Czechia,2021-08-09,Johnson&Johnson,164201
3203,Czechia,2021-08-09,Moderna,876811
3204,Czechia,2021-08-09,Oxford/AstraZeneca,872592
3205,Czechia,2021-08-09,Pfizer/BioNTech,8884644
3206,Czechia,2021-08-10,Johnson&Johnson,166404
3207,Czechia,2021-08-10,Moderna,878168
3208,Czechia,2021-08-10,Oxford/AstraZeneca,874297
3209,Czechia,2021-08-10,Pfizer/BioNTech,8928598
3210,Czechia,2021-08-11,Johnson&Johnson,168632
3211,Czechia,2021-08-11,Moderna,879875
3212,Czechia,2021-08-11,Oxford/AstraZeneca,875764
3213,Czechia,2021-08-11,Pfizer/BioNTech,8975458
3214,Czechia,2021-08-12,Johnson&Johnson,171122
3215,Czechia,2021-08-12,Moderna,881584
3216,Czechia,2021-08-12,Oxford/AstraZeneca,877028
3217,Czechia,2021-08-12,Pfizer/BioNTech,9016068
3218,Czechia,2021-08-13,Johnson&Johnson,173332
3219,Czechia,2021-08-13,Moderna,883641
3220,Czechia,2021-08-13,Oxford/AstraZeneca,877896
3221,Czechia,2021-08-13,Pfizer/BioNTech,9059800
3222,Czechia,2021-08-14,Johnson&Johnson,174390
3223,Czechia,2021-08-14,Moderna,883984
3224,Czechia,2021-08-14,Oxford/AstraZeneca,877939
3225,Czechia,2021-08-14,Pfizer/BioNTech,9071345
3226,Czechia,2021-08-15,Johnson&Johnson,175015
3227,Czechia,2021-08-15,Moderna,884097
3228,Czechia,2021-08-15,Oxford/AstraZeneca,877954
3229,Czechia,2021-08-15,Pfizer/BioNTech,9082932
3230,Czechia,2021-08-16,Johnson&Johnson,176914
3231,Czechia,2021-08-16,Moderna,885844
3232,Czechia,2021-08-16,Oxford/AstraZeneca,878630
3233,Czechia,2021-08-16,Pfizer/BioNTech,9120576
3234,Czechia,2021-08-17,Johnson&Johnson,178887
3235,Czechia,2021-08-17,Moderna,887271
3236,Czechia,2021-08-17,Oxford/AstraZeneca,879538
3237,Czechia,2021-08-17,Pfizer/BioNTech,9150983
3238,Czechia,2021-08-18,Johnson&Johnson,181025
3239,Czechia,2021-08-18,Moderna,888894
3240,Czechia,2021-08-18,Oxford/AstraZeneca,880273
3241,Czechia,2021-08-18,Pfizer/BioNTech,9192612
3242,Czechia,2021-08-19,Johnson&Johnson,183486
3243,Czechia,2021-08-19,Moderna,890391
3244,Czechia,2021-08-19,Oxford/AstraZeneca,880975
3245,Czechia,2021-08-19,Pfizer/BioNTech,9233512
3246,Czechia,2021-08-20,Johnson&Johnson,186114
3247,Czechia,2021-08-20,Moderna,892324
3248,Czechia,2021-08-20,Oxford/AstraZeneca,881528
3249,Czechia,2021-08-20,Pfizer/BioNTech,9277349
3250,Czechia,2021-08-21,Johnson&Johnson,187026
3251,Czechia,2021-08-21,Moderna,892645
3252,Czechia,2021-08-21,Oxford/AstraZeneca,881618
3253,Czechia,2021-08-21,Pfizer/BioNTech,9290597
3254,Czechia,2021-08-22,Johnson&Johnson,187819
3255,Czechia,2021-08-22,Moderna,892963
3256,Czechia,2021-08-22,Oxford/AstraZeneca,881623
3257,Czechia,2021-08-22,Pfizer/BioNTech,9302998
3258,Czechia,2021-08-23,Johnson&Johnson,190338
3259,Czechia,2021-08-23,Moderna,894452
3260,Czechia,2021-08-23,Oxford/AstraZeneca,882036
3261,Czechia,2021-08-23,Pfizer/BioNTech,9345861
3262,Czechia,2021-08-24,Johnson&Johnson,192589
3263,Czechia,2021-08-24,Moderna,895708
3264,Czechia,2021-08-24,Oxford/AstraZeneca,882331
3265,Czechia,2021-08-24,Pfizer/BioNTech,9382932
3266,Czechia,2021-08-25,Johnson&Johnson,194758
3267,Czechia,2021-08-25,Moderna,897317
3268,Czechia,2021-08-25,Oxford/AstraZeneca,882730
3269,Czechia,2021-08-25,Pfizer/BioNTech,9413832
3270,Czechia,2021-08-26,Johnson&Johnson,196567
3271,Czechia,2021-08-26,Moderna,898803
3272,Czechia,2021-08-26,Oxford/AstraZeneca,883081
3273,Czechia,2021-08-26,Pfizer/BioNTech,9442963
3274,Czechia,2021-08-27,Johnson&Johnson,198785
3275,Czechia,2021-08-27,Moderna,900255
3276,Czechia,2021-08-27,Oxford/AstraZeneca,883372
3277,Czechia,2021-08-27,Pfizer/BioNTech,9473080
3278,Czechia,2021-08-28,Johnson&Johnson,199507
3279,Czechia,2021-08-28,Moderna,900504
3280,Czechia,2021-08-28,Oxford/AstraZeneca,883381
3281,Czechia,2021-08-28,Pfizer/BioNTech,9481163
3282,Czechia,2021-08-29,Johnson&Johnson,200237
3283,Czechia,2021-08-29,Moderna,900809
3284,Czechia,2021-08-29,Oxford/AstraZeneca,883384
3285,Czechia,2021-08-29,Pfizer/BioNTech,9488427
3286,Czechia,2021-08-30,Johnson&Johnson,201928
3287,Czechia,2021-08-30,Moderna,902637
3288,Czechia,2021-08-30,Oxford/AstraZeneca,883770
3289,Czechia,2021-08-30,Pfizer/BioNTech,9513233
3290,Czechia,2021-08-31,Johnson&Johnson,203693
3291,Czechia,2021-08-31,Moderna,903776
3292,Czechia,2021-08-31,Oxford/AstraZeneca,884083
3293,Czechia,2021-08-31,Pfizer/BioNTech,9534025
3294,Czechia,2021-09-01,Johnson&Johnson,205036
3295,Czechia,2021-09-01,Moderna,905053
3296,Czechia,2021-09-01,Oxford/AstraZeneca,884253
3297,Czechia,2021-09-01,Pfizer/BioNTech,9549797
3298,Czechia,2021-09-02,Johnson&Johnson,206897
3299,Czechia,2021-09-02,Moderna,906908
3300,Czechia,2021-09-02,Oxford/AstraZeneca,884431
3301,Czechia,2021-09-02,Pfizer/BioNTech,9565279
3302,Czechia,2021-09-03,Johnson&Johnson,208866
3303,Czechia,2021-09-03,Moderna,908404
3304,Czechia,2021-09-03,Oxford/AstraZeneca,884523
3305,Czechia,2021-09-03,Pfizer/BioNTech,9585032
3306,Czechia,2021-09-04,Johnson&Johnson,209488
3307,Czechia,2021-09-04,Moderna,908496
3308,Czechia,2021-09-04,Oxford/AstraZeneca,884548
3309,Czechia,2021-09-04,Pfizer/BioNTech,9589292
3310,Czechia,2021-09-05,Johnson&Johnson,210016
3311,Czechia,2021-09-05,Moderna,908576
3312,Czechia,2021-09-05,Oxford/AstraZeneca,884553
3313,Czechia,2021-09-05,Pfizer/BioNTech,9593034
3314,Czechia,2021-09-06,Johnson&Johnson,211433
3315,Czechia,2021-09-06,Moderna,909716
3316,Czechia,2021-09-06,Oxford/AstraZeneca,884618
3317,Czechia,2021-09-06,Pfizer/BioNTech,9607770
3318,Czechia,2021-09-07,Johnson&Johnson,212931
3319,Czechia,2021-09-07,Moderna,910868
3320,Czechia,2021-09-07,Oxford/AstraZeneca,884727
3321,Czechia,2021-09-07,Pfizer/BioNTech,9619001
3322,Czechia,2021-09-08,Johnson&Johnson,214189
3323,Czechia,2021-09-08,Moderna,911828
3324,Czechia,2021-09-08,Oxford/AstraZeneca,884837
3325,Czechia,2021-09-08,Pfizer/BioNTech,9630940
3326,Czechia,2021-09-09,Johnson&Johnson,215765
3327,Czechia,2021-09-09,Moderna,912853
3328,Czechia,2021-09-09,Oxford/AstraZeneca,884937
3329,Czechia,2021-09-09,Pfizer/BioNTech,9643425
3330,Czechia,2021-09-10,Johnson&Johnson,217310
3331,Czechia,2021-09-10,Moderna,913850
3332,Czechia,2021-09-10,Oxford/AstraZeneca,884985
3333,Czechia,2021-09-10,Pfizer/BioNTech,9659159
3334,Czechia,2021-09-11,Johnson&Johnson,217928
3335,Czechia,2021-09-11,Moderna,914002
3336,Czechia,2021-09-11,Oxford/AstraZeneca,884988
3337,Czechia,2021-09-11,Pfizer/BioNTech,9662115
3338,Czechia,2021-09-12,Johnson&Johnson,218375
3339,Czechia,2021-09-12,Moderna,914073
3340,Czechia,2021-09-12,Oxford/AstraZeneca,884995
3341,Czechia,2021-09-12,Pfizer/BioNTech,9663894
3342,Czechia,2021-09-13,Johnson&Johnson,219859
3343,Czechia,2021-09-13,Moderna,914887
3344,Czechia,2021-09-13,Oxford/AstraZeneca,885051
3345,Czechia,2021-09-13,Pfizer/BioNTech,9675788
3346,Czechia,2021-09-14,Johnson&Johnson,221295
3347,Czechia,2021-09-14,Moderna,915819
3348,Czechia,2021-09-14,Oxford/AstraZeneca,885117
3349,Czechia,2021-09-14,Pfizer/BioNTech,9686332
3350,Czechia,2021-09-15,Johnson&Johnson,222616
3351,Czechia,2021-09-15,Moderna,916857
3352,Czechia,2021-09-15,Oxford/AstraZeneca,885184
3353,Czechia,2021-09-15,Pfizer/BioNTech,9696315
3354,Czechia,2021-09-16,Johnson&Johnson,224179
3355,Czechia,2021-09-16,Moderna,917783
3356,Czechia,2021-09-16,Oxford/AstraZeneca,885235
3357,Czechia,2021-09-16,Pfizer/BioNTech,9705834
3358,Czechia,2021-09-17,Johnson&Johnson,225961
3359,Czechia,2021-09-17,Moderna,918775
3360,Czechia,2021-09-17,Oxford/AstraZeneca,885274
3361,Czechia,2021-09-17,Pfizer/BioNTech,9718050
3362,Czechia,2021-09-18,Johnson&Johnson,226519
3363,Czechia,2021-09-18,Moderna,918889
3364,Czechia,2021-09-18,Oxford/AstraZeneca,885279
3365,Czechia,2021-09-18,Pfizer/BioNTech,9720903
3366,Czechia,2021-09-19,Johnson&Johnson,226917
3367,Czechia,2021-09-19,Moderna,918933
3368,Czechia,2021-09-19,Oxford/AstraZeneca,885283
3369,Czechia,2021-09-19,Pfizer/BioNTech,9722574
3370,Czechia,2021-09-20,Johnson&Johnson,228004
3371,Czechia,2021-09-20,Moderna,919642
3372,Czechia,2021-09-20,Oxford/AstraZeneca,885334
3373,Czechia,2021-09-20,Pfizer/BioNTech,9732283
3374,Czechia,2021-09-21,Johnson&Johnson,229135
3375,Czechia,2021-09-21,Moderna,920378
3376,Czechia,2021-09-21,Oxford/AstraZeneca,885405
3377,Czechia,2021-09-21,Pfizer/BioNTech,9741433
3378,Czechia,2021-09-22,Johnson&Johnson,230245
3379,Czechia,2021-09-22,Moderna,921282
3380,Czechia,2021-09-22,Oxford/AstraZeneca,885497
3381,Czechia,2021-09-22,Pfizer/BioNTech,9748372
3382,Czechia,2021-09-23,Johnson&Johnson,231623
3383,Czechia,2021-09-23,Moderna,922109
3384,Czechia,2021-09-23,Oxford/AstraZeneca,885553
3385,Czechia,2021-09-23,Pfizer/BioNTech,9757124
3386,Czechia,2021-09-24,Johnson&Johnson,233221
3387,Czechia,2021-09-24,Moderna,922994
3388,Czechia,2021-09-24,Oxford/AstraZeneca,885575
3389,Czechia,2021-09-24,Pfizer/BioNTech,9768896
3390,Czechia,2021-09-25,Johnson&Johnson,233756
3391,Czechia,2021-09-25,Moderna,923087
3392,Czechia,2021-09-25,Oxford/AstraZeneca,885579
3393,Czechia,2021-09-25,Pfizer/BioNTech,9771304
3394,Czechia,2021-09-26,Johnson&Johnson,234055
3395,Czechia,2021-09-26,Moderna,923124
3396,Czechia,2021-09-26,Oxford/AstraZeneca,885582
3397,Czechia,2021-09-26,Pfizer/BioNTech,9773120
3398,Czechia,2021-09-27,Johnson&Johnson,235120
3399,Czechia,2021-09-27,Moderna,923861
3400,Czechia,2021-09-27,Oxford/AstraZeneca,885624
3401,Czechia,2021-09-27,Pfizer/BioNTech,9781347
3402,Czechia,2021-09-28,Johnson&Johnson,235305
3403,Czechia,2021-09-28,Moderna,923911
3404,Czechia,2021-09-28,Pfizer/BioNTech,9781975
3405,Czechia,2021-09-29,Johnson&Johnson,236366
3406,Czechia,2021-09-29,Moderna,924942
3407,Czechia,2021-09-29,Oxford/AstraZeneca,885661
3408,Czechia,2021-09-29,Pfizer/BioNTech,9791042
3409,Czechia,2021-09-30,Johnson&Johnson,237508
3410,Czechia,2021-09-30,Moderna,926228
3411,Czechia,2021-09-30,Oxford/AstraZeneca,885696
3412,Czechia,2021-09-30,Pfizer/BioNTech,9800809
3413,Czechia,2021-10-01,Johnson&Johnson,238618
3414,Czechia,2021-10-01,Moderna,927155
3415,Czechia,2021-10-01,Oxford/AstraZeneca,885724
3416,Czechia,2021-10-01,Pfizer/BioNTech,9811779
3417,Czechia,2021-10-02,Johnson&Johnson,238958
3418,Czechia,2021-10-02,Moderna,927225
3419,Czechia,2021-10-02,Oxford/AstraZeneca,885725
3420,Czechia,2021-10-02,Pfizer/BioNTech,9813736
3421,Czechia,2021-10-03,Johnson&Johnson,239258
3422,Czechia,2021-10-03,Moderna,927242
3423,Czechia,2021-10-03,Pfizer/BioNTech,9814792
3424,Czechia,2021-10-04,Johnson&Johnson,240089
3425,Czechia,2021-10-04,Moderna,928153
3426,Czechia,2021-10-04,Oxford/AstraZeneca,885743
3427,Czechia,2021-10-04,Pfizer/BioNTech,9822583
3428,Czechia,2021-10-05,Johnson&Johnson,241070
3429,Czechia,2021-10-05,Moderna,928952
3430,Czechia,2021-10-05,Oxford/AstraZeneca,885767
3431,Czechia,2021-10-05,Pfizer/BioNTech,9830185
3432,Czechia,2021-10-06,Johnson&Johnson,242021
3433,Czechia,2021-10-06,Moderna,929807
3434,Czechia,2021-10-06,Oxford/AstraZeneca,885797
3435,Czechia,2021-10-06,Pfizer/BioNTech,9838721
3436,Czechia,2021-10-07,Johnson&Johnson,242979
3437,Czechia,2021-10-07,Moderna,930852
3438,Czechia,2021-10-07,Oxford/AstraZeneca,885831
3439,Czechia,2021-10-07,Pfizer/BioNTech,9846677
3440,Czechia,2021-10-08,Johnson&Johnson,244234
3441,Czechia,2021-10-08,Moderna,931800
3442,Czechia,2021-10-08,Oxford/AstraZeneca,885852
3443,Czechia,2021-10-08,Pfizer/BioNTech,9858557
3444,Czechia,2021-10-09,Johnson&Johnson,244614
3445,Czechia,2021-10-09,Moderna,931863
3446,Czechia,2021-10-09,Oxford/AstraZeneca,885854
3447,Czechia,2021-10-09,Pfizer/BioNTech,9861094
3448,Czechia,2021-10-10,Johnson&Johnson,244869
3449,Czechia,2021-10-10,Moderna,931883
3450,Czechia,2021-10-10,Oxford/AstraZeneca,885856
3451,Czechia,2021-10-10,Pfizer/BioNTech,9862575
3452,Czechia,2021-10-11,Johnson&Johnson,245584
3453,Czechia,2021-10-11,Moderna,932708
3454,Czechia,2021-10-11,Oxford/AstraZeneca,885895
3455,Czechia,2021-10-11,Pfizer/BioNTech,9870292
3456,Czechia,2021-10-12,Johnson&Johnson,246305
3457,Czechia,2021-10-12,Moderna,933709
3458,Czechia,2021-10-12,Oxford/AstraZeneca,885934
3459,Czechia,2021-10-12,Pfizer/BioNTech,9878200
3460,Czechia,2021-10-13,Johnson&Johnson,247214
3461,Czechia,2021-10-13,Moderna,934586
3462,Czechia,2021-10-13,Oxford/AstraZeneca,885955
3463,Czechia,2021-10-13,Pfizer/BioNTech,9887584
3464,Czechia,2021-10-14,Johnson&Johnson,248356
3465,Czechia,2021-10-14,Moderna,935473
3466,Czechia,2021-10-14,Oxford/AstraZeneca,885962
3467,Czechia,2021-10-14,Pfizer/BioNTech,9897807
3468,Czechia,2021-10-15,Johnson&Johnson,249721
3469,Czechia,2021-10-15,Moderna,936446
3470,Czechia,2021-10-15,Oxford/AstraZeneca,885965
3471,Czechia,2021-10-15,Pfizer/BioNTech,9910572
3472,Czechia,2021-10-16,Johnson&Johnson,250208
3473,Czechia,2021-10-16,Moderna,936492
3474,Czechia,2021-10-16,Oxford/AstraZeneca,885967
3475,Czechia,2021-10-16,Pfizer/BioNTech,9913577
3476,Czechia,2021-10-17,Johnson&Johnson,250756
3477,Czechia,2021-10-17,Moderna,936561
3478,Czechia,2021-10-17,Pfizer/BioNTech,9915353
3479,Czechia,2021-10-18,Johnson&Johnson,251857
3480,Czechia,2021-10-18,Moderna,937528
3481,Czechia,2021-10-18,Oxford/AstraZeneca,885993
3482,Czechia,2021-10-18,Pfizer/BioNTech,9927563
3483,Czechia,2021-10-19,Johnson&Johnson,252867
3484,Czechia,2021-10-19,Moderna,938898
3485,Czechia,2021-10-19,Oxford/AstraZeneca,886016
3486,Czechia,2021-10-19,Pfizer/BioNTech,9940777
3487,Czechia,2021-10-20,Johnson&Johnson,254298
3488,Czechia,2021-10-20,Moderna,940601
3489,Czechia,2021-10-20,Oxford/AstraZeneca,886045
3490,Czechia,2021-10-20,Pfizer/BioNTech,9960542
3491,Czechia,2021-10-21,Johnson&Johnson,256555
3492,Czechia,2021-10-21,Moderna,943080
3493,Czechia,2021-10-21,Oxford/AstraZeneca,886066
3494,Czechia,2021-10-21,Pfizer/BioNTech,9984502
3495,Czechia,2021-10-22,Johnson&Johnson,259380
3496,Czechia,2021-10-22,Moderna,945103
3497,Czechia,2021-10-22,Oxford/AstraZeneca,886078
3498,Czechia,2021-10-22,Pfizer/BioNTech,10012640
3499,Czechia,2021-10-23,Johnson&Johnson,260735
3500,Czechia,2021-10-23,Moderna,945391
3501,Czechia,2021-10-23,Oxford/AstraZeneca,886079
3502,Czechia,2021-10-23,Pfizer/BioNTech,10019200
3503,Czechia,2021-10-24,Johnson&Johnson,261994
3504,Czechia,2021-10-24,Moderna,945452
3505,Czechia,2021-10-24,Oxford/AstraZeneca,886080
3506,Czechia,2021-10-24,Pfizer/BioNTech,10023587
3507,Czechia,2021-10-25,Johnson&Johnson,265160
3508,Czechia,2021-10-25,Moderna,947919
3509,Czechia,2021-10-25,Oxford/AstraZeneca,886105
3510,Czechia,2021-10-25,Pfizer/BioNTech,10050969
3511,Czechia,2021-10-26,Johnson&Johnson,269275
3512,Czechia,2021-10-26,Moderna,950610
3513,Czechia,2021-10-26,Oxford/AstraZeneca,886151
3514,Czechia,2021-10-26,Pfizer/BioNTech,10081073
3515,Czechia,2021-10-27,Johnson&Johnson,273533
3516,Czechia,2021-10-27,Moderna,954742
3517,Czechia,2021-10-27,Oxford/AstraZeneca,886197
3518,Czechia,2021-10-27,Pfizer/BioNTech,10116818
3519,Czechia,2021-10-28,Johnson&Johnson,274748
3520,Czechia,2021-10-28,Moderna,955142
3521,Czechia,2021-10-28,Oxford/AstraZeneca,886201
3522,Czechia,2021-10-28,Pfizer/BioNTech,10123336
3523,Czechia,2021-10-29,Johnson&Johnson,278899
3524,Czechia,2021-10-29,Moderna,957660
3525,Czechia,2021-10-29,Oxford/AstraZeneca,886249
3526,Czechia,2021-10-29,Pfizer/BioNTech,10153982
3527,Czechia,2021-10-30,Johnson&Johnson,280912
3528,Czechia,2021-10-30,Moderna,957813
3529,Czechia,2021-10-30,Oxford/AstraZeneca,886250
3530,Czechia,2021-10-30,Pfizer/BioNTech,10161112
3531,Czechia,2021-10-31,Johnson&Johnson,282571
3532,Czechia,2021-10-31,Moderna,957864
3533,Czechia,2021-10-31,Oxford/AstraZeneca,886253
3534,Czechia,2021-10-31,Pfizer/BioNTech,10167679
3535,Czechia,2021-11-01,Johnson&Johnson,287246
3536,Czechia,2021-11-01,Moderna,961469
3537,Czechia,2021-11-01,Oxford/AstraZeneca,886259
3538,Czechia,2021-11-01,Pfizer/BioNTech,10199574
3539,Czechia,2021-11-02,Johnson&Johnson,292072
3540,Czechia,2021-11-02,Moderna,965493
3541,Czechia,2021-11-02,Oxford/AstraZeneca,886268
3542,Czechia,2021-11-02,Pfizer/BioNTech,10234427
3543,Czechia,2021-11-03,Johnson&Johnson,296269
3544,Czechia,2021-11-03,Moderna,970819
3545,Czechia,2021-11-03,Oxford/AstraZeneca,886274
3546,Czechia,2021-11-03,Pfizer/BioNTech,10275486
3547,Czechia,2021-11-04,Johnson&Johnson,301345
3548,Czechia,2021-11-04,Moderna,976969
3549,Czechia,2021-11-04,Oxford/AstraZeneca,886277
3550,Czechia,2021-11-04,Pfizer/BioNTech,10316909
3551,Czechia,2021-11-05,Johnson&Johnson,308152
3552,Czechia,2021-11-05,Moderna,982637
3553,Czechia,2021-11-05,Oxford/AstraZeneca,886286
3554,Czechia,2021-11-05,Pfizer/BioNTech,10362689
3555,Czechia,2021-11-06,Johnson&Johnson,310209
3556,Czechia,2021-11-06,Moderna,983247
3557,Czechia,2021-11-06,Pfizer/BioNTech,10374349
3558,Czechia,2021-11-07,Johnson&Johnson,311848
3559,Czechia,2021-11-07,Moderna,983460
3560,Czechia,2021-11-07,Oxford/AstraZeneca,886287
3561,Czechia,2021-11-07,Pfizer/BioNTech,10381984
3562,Czechia,2021-11-08,Johnson&Johnson,316360
3563,Czechia,2021-11-08,Moderna,987686
3564,Czechia,2021-11-08,Oxford/AstraZeneca,886295
3565,Czechia,2021-11-08,Pfizer/BioNTech,10417921
3566,Czechia,2021-11-09,Johnson&Johnson,321064
3567,Czechia,2021-11-09,Moderna,993187
3568,Czechia,2021-11-09,Oxford/AstraZeneca,886301
3569,Czechia,2021-11-09,Pfizer/BioNTech,10453355
3570,Czechia,2021-11-10,Johnson&Johnson,325042
3571,Czechia,2021-11-10,Moderna,998583
3572,Czechia,2021-11-10,Oxford/AstraZeneca,886305
3573,Czechia,2021-11-10,Pfizer/BioNTech,10491897
3574,Czechia,2021-11-11,Johnson&Johnson,329406
3575,Czechia,2021-11-11,Moderna,1003931
3576,Czechia,2021-11-11,Oxford/AstraZeneca,886313
3577,Czechia,2021-11-11,Pfizer/BioNTech,10530106
3578,Czechia,2021-11-12,Johnson&Johnson,335128
3579,Czechia,2021-11-12,Moderna,1008402
3580,Czechia,2021-11-12,Oxford/AstraZeneca,886321
3581,Czechia,2021-11-12,Pfizer/BioNTech,10574360
3582,Czechia,2021-11-13,Johnson&Johnson,337005
3583,Czechia,2021-11-13,Moderna,1008910
3584,Czechia,2021-11-13,Oxford/AstraZeneca,886325
3585,Czechia,2021-11-13,Pfizer/BioNTech,10585106
3586,Czechia,2021-11-14,Johnson&Johnson,338613
3587,Czechia,2021-11-14,Moderna,1009047
3588,Czechia,2021-11-14,Oxford/AstraZeneca,886326
3589,Czechia,2021-11-14,Pfizer/BioNTech,10592298
3590,Czechia,2021-11-15,Johnson&Johnson,342941
3591,Czechia,2021-11-15,Moderna,1013415
3592,Czechia,2021-11-15,Oxford/AstraZeneca,886336
3593,Czechia,2021-11-15,Pfizer/BioNTech,10627625
3594,Czechia,2021-11-16,Johnson&Johnson,347516
3595,Czechia,2021-11-16,Moderna,1019309
3596,Czechia,2021-11-16,Oxford/AstraZeneca,886338
3597,Czechia,2021-11-16,Pfizer/BioNTech,10669240
3598,Czechia,2021-11-17,Johnson&Johnson,348795
3599,Czechia,2021-11-17,Moderna,1020094
3600,Czechia,2021-11-17,Oxford/AstraZeneca,886345
3601,Czechia,2021-11-17,Pfizer/BioNTech,10678215
3602,Czechia,2021-11-18,Johnson&Johnson,353802
3603,Czechia,2021-11-18,Moderna,1025883
3604,Czechia,2021-11-18,Oxford/AstraZeneca,886349
3605,Czechia,2021-11-18,Pfizer/BioNTech,10719271
3606,Czechia,2021-11-19,Johnson&Johnson,359879
3607,Czechia,2021-11-19,Moderna,1031574
3608,Czechia,2021-11-19,Oxford/AstraZeneca,886356
3609,Czechia,2021-11-19,Pfizer/BioNTech,10768511
3610,Czechia,2021-11-20,Johnson&Johnson,362228
3611,Czechia,2021-11-20,Moderna,1032303
3612,Czechia,2021-11-20,Pfizer/BioNTech,10782213
3613,Czechia,2021-11-21,Johnson&Johnson,364016
3614,Czechia,2021-11-21,Moderna,1032806
3615,Czechia,2021-11-21,Pfizer/BioNTech,10791680
3616,Czechia,2021-11-22,Johnson&Johnson,368333
3617,Czechia,2021-11-22,Moderna,1037598
3618,Czechia,2021-11-22,Oxford/AstraZeneca,886362
3619,Czechia,2021-11-22,Pfizer/BioNTech,10833528
3620,Czechia,2021-11-23,Johnson&Johnson,372083
3621,Czechia,2021-11-23,Moderna,1044896
3622,Czechia,2021-11-23,Oxford/AstraZeneca,886371
3623,Czechia,2021-11-23,Pfizer/BioNTech,10879776
3624,Czechia,2021-11-24,Johnson&Johnson,375773
3625,Czechia,2021-11-24,Moderna,1052054
3626,Czechia,2021-11-24,Oxford/AstraZeneca,886392
3627,Czechia,2021-11-24,Pfizer/BioNTech,10929173
3628,Czechia,2021-11-25,Johnson&Johnson,379288
3629,Czechia,2021-11-25,Moderna,1059782
3630,Czechia,2021-11-25,Oxford/AstraZeneca,886396
3631,Czechia,2021-11-25,Pfizer/BioNTech,10982125
3632,Czechia,2021-11-26,Johnson&Johnson,383463
3633,Czechia,2021-11-26,Moderna,1067381
3634,Czechia,2021-11-26,Oxford/AstraZeneca,886401
3635,Czechia,2021-11-26,Pfizer/BioNTech,11041865
3636,Czechia,2021-11-27,Johnson&Johnson,385009
3637,Czechia,2021-11-27,Moderna,1068619
3638,Czechia,2021-11-27,Oxford/AstraZeneca,886402
3639,Czechia,2021-11-27,Pfizer/BioNTech,11058528
3640,Czechia,2021-11-28,Johnson&Johnson,385882
3641,Czechia,2021-11-28,Moderna,1069406
3642,Czechia,2021-11-28,Oxford/AstraZeneca,886403
3643,Czechia,2021-11-28,Pfizer/BioNTech,11069480
3644,Czechia,2021-11-29,Johnson&Johnson,388252
3645,Czechia,2021-11-29,Moderna,1076900
3646,Czechia,2021-11-29,Oxford/AstraZeneca,886418
3647,Czechia,2021-11-29,Pfizer/BioNTech,11125248
3648,Czechia,2021-11-30,Johnson&Johnson,390261
3649,Czechia,2021-11-30,Moderna,1087537
3650,Czechia,2021-11-30,Oxford/AstraZeneca,886427
3651,Czechia,2021-11-30,Pfizer/BioNTech,11186380
3652,Czechia,2021-12-01,Johnson&Johnson,392107
3653,Czechia,2021-12-01,Moderna,1100469
3654,Czechia,2021-12-01,Oxford/AstraZeneca,886438
3655,Czechia,2021-12-01,Pfizer/BioNTech,11260522
3656,Czechia,2021-12-02,Johnson&Johnson,393932
3657,Czechia,2021-12-02,Moderna,1114843
3658,Czechia,2021-12-02,Oxford/AstraZeneca,886446
3659,Czechia,2021-12-02,Pfizer/BioNTech,11338926
3660,Czechia,2021-12-03,Johnson&Johnson,395980
3661,Czechia,2021-12-03,Moderna,1128617
3662,Czechia,2021-12-03,Oxford/AstraZeneca,886447
3663,Czechia,2021-12-03,Pfizer/BioNTech,11422232
3664,Czechia,2021-12-04,Johnson&Johnson,396635
3665,Czechia,2021-12-04,Moderna,1130761
3666,Czechia,2021-12-04,Pfizer/BioNTech,11451814
3667,Czechia,2021-12-05,Johnson&Johnson,396975
3668,Czechia,2021-12-05,Moderna,1131931
3669,Czechia,2021-12-05,Oxford/AstraZeneca,886448
3670,Czechia,2021-12-05,Pfizer/BioNTech,11472736
3671,Czechia,2021-12-06,Johnson&Johnson,398060
3672,Czechia,2021-12-06,Moderna,1142208
3673,Czechia,2021-12-06,Oxford/AstraZeneca,886459
3674,Czechia,2021-12-06,Pfizer/BioNTech,11546870
3675,Czechia,2021-12-07,Johnson&Johnson,399016
3676,Czechia,2021-12-07,Moderna,1155959
