,location,date,vaccine,total_vaccinations
107,Austria,2021-07-09,Pfizer/BioNTech,6164974
108,Austria,2021-07-16,Johnson&Johnson,176021
109,Austria,2021-07-16,Moderna,908200
110,Austria,2021-07-16,Oxford/AstraZeneca,1501486
111,Austria,2021-07-16,Pfizer/BioNTech,6443931
112,Austria,2021-07-23,Johnson&Johnson,192935
113,Austria,2021-07-23,Moderna,955053
114,Austria,2021-07-23,Oxford/AstraZeneca,1528429
115,Austria,2021-07-23,Pfizer/BioNTech,6698352
116,Austria,2021-07-30,Johnson&Johnson,205353
117,Austria,2021-07-30,Moderna,974285
118,Austria,2021-07-30,Oxford/AstraZeneca,1553300
119,Austria,2021-07-30,Pfizer/BioNTech,6913577
120,Austria,2021-08-06,Johnson&Johnson,220897
121,Austria,2021-08-06,Moderna,992347
122,Austria,2021-08-06,Oxford/AstraZeneca,1567624
123,Austria,2021-08-06,Pfizer/BioNTech,7094435
124,Austria,2021-08-13,Johnson&Johnson,231498
125,Austria,2021-08-13,Moderna,1002023
126,Austria,2021-08-13,Oxford/AstraZeneca,1572930
127,Austria,2021-08-13,Pfizer/BioNTech,7222093
128,Austria,2021-08-20,Johnson&Johnson,245177
129,Austria,2021-08-20,Moderna,1016112
130,Austria,2021-08-20,Oxford/AstraZeneca,1575578
131,Austria,2021-08-20,Pfizer/BioNTech,7317594
132,Austria,2021-08-27,Johnson&Johnson,259212
133,Austria,2021-08-27,Moderna,1019980
134,Austria,2021-08-27,Oxford/AstraZeneca,1577345
135,Austria,2021-08-27,Pfizer/BioNTech,7377946
136,Austria,2021-09-03,Johnson&Johnson,272390
137,Austria,2021-09-03,Moderna,1025017
138,Austria,2021-09-03,Oxford/AstraZeneca,1579184
139,Austria,2021-09-03,Pfizer/BioNTech,7430872
140,Austria,2021-09-10,Johnson&Johnson,286569
141,Austria,2021-09-10,Moderna,1028190
142,Austria,2021-09-10,Oxford/AstraZeneca,1580233
143,Austria,2021-09-10,Pfizer/BioNTech,7487756
144,Austria,2021-09-17,Johnson&Johnson,298162
145,Austria,2021-09-17,Moderna,1032796
146,Austria,2021-09-17,Oxford/AstraZeneca,1581101
147,Austria,2021-09-17,Pfizer/BioNTech,7560343
148,Austria,2021-09-24,Johnson&Johnson,312157
