,cases,cases,daily_vaccinations,daily_vaccinations,people_fully_vaccinated,people_fully_vaccinated,people_vaccinated,people_vaccinated
,mean,median,mean,median,mean,median,mean,median
cluster,,,,,,,,
dark purple,2179.4242424242425,1484.0,790212.1515151515,818832.0,21362327.606060605,21626158.0,40091356.39393939,40335299.0
pink,14489.119047619048,13378.0,640409.4047619047,675145.5,7818178.571428572,7106581.5,25101557.04761905,25196409.5
purple,13035.046296296296,10671.0,168165.67592592593,127229.0,1911878.7407407407,1731659.5,4534182.157407408,3172606.5
